#Node_Name|Description|Alias_Mod|Alias_Node|Tile_String|Special_Tiles|Inv_Image|Wield_Image|Draw_Type|Vis_Scale|Wld_Scale|Param_Type|ParamType2|Place_Param2|LightSource|Walkable|Pointable|Climbable|Diggable|Buildable|Floodable|Waving|Use_Alpha|Sun_Prop|Liquid_Point|Damage_Per_Second|Grnd_Cnt|Leg_wall|MaxLight|Grow|Eat|Groups|Max_Drops|Drops|Sounds|Dig_Predict|Place_Predict|NodeBox|SelBox|ColBox|Mesh|LiquidType|LiquidViscosity|LiquidRange|LiquidRenew|LiquidAltSource|LiquidAltFlow|OnConstruct|OnTimer|TimerTrig|TimerAct|AfterPlace|OnPlace|
#BUSHES, SHRUBS|||||||||||||||||||||||||||||||||||||||||||||||||||||
bush_rhodedendron_leaves_2|Bush - Rhodedendron Leaves 2|||lib_ecology_bush_rhodedendron_leaves_2.png||||allfaces_optional|1.5|0.5,0.5,0.5|light||||FALSE|||||TRUE|1|||||FALSE||11|bush_rhodedendron_leaves_3||snappy 3,leafdecay 3,flammable 2,leaves 1|||leaves|||||||||||||timer|"60,120"|300|lib_ecology:bush_rhodedendron_leaves_3|lib_ecology.after_place_leaves||
bush_rhodedendron_leaves_3|Bush - Rhodedendron Leaves 3|||lib_ecology_bush_rhodedendron_leaves_3.png||||allfaces_optional|1.5|0.5,0.5,0.5|light||||FALSE|||||TRUE|1|||||FALSE||11|||snappy 3,leafdecay 3,flammable 2,leaves 1|||leaves|||||||||||||timer|"60,120"|200|lib_ecology:bush_rhodedendron_leaves_1|lib_ecology.after_place_leaves||
bush_trunk|Bush - Trunk|||lib_ecology_bush_trunk.png||||plantlike|1.41||light||||FALSE||||FALSE|TRUE|1||TRUE|||FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||wood||||-0.4375,-0.5,-0.4375,0.4375,0.5,0.4375|||||||||||||||
#CACTII|||||||||||||||||||||||||||||||||||||||||||||||||||||
#cactus_01_seedling||||default_large_cactus_seedling.png|||||||||||||||||||||||||||||||||||||||||||||||||
cactus_column_01|Cactus - Column 01|||lib_ecology_cactus_column_01.png||||plantlike|||light||||FALSE||||FALSE|TRUE|1||TRUE||1|FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3|||||||||||||||
cactus_column_02|Cactus - Column 02|||lib_ecology_cactus_column_02.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||FALSE|TRUE|1||TRUE||1|FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3|||||||||||||||
cactus_globe|Cactus - Globe|||lib_ecology_cactus_globe.png||||plantlike|||light||||FALSE||||FALSE|TRUE|1||TRUE||1|FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3|||||||||||||||
cactus_green_column|Cactus - Green Column|||lib_ecology_plant_cactus.png||||mesh|0.5||light||||||||||||||1||||||choppy 1,oddly_breakable_by_hand 1|||wood||||-0.4,-0.5,-0.4,0.4,0.5,0.4|-0.4,-0.5,-0.4,0.4,0.5,0.4|cactus.b3d|||||||||||||
cactus_green_trunk|Cactus - Green Trunk|||lib_ecology_cactus_green_trunk_top.png,lib_ecology_cactus_green_trunk_top.png,lib_ecology_cactus_green_trunk.png|||||||light|facedir|||TRUE||||||||||1|FALSE|||||tree 1,choppy 2,oddly_breakable_by_hand 1,flammable 2|||wood||||||||||||||||||rotate|
cactus_moonflower|Cactus - Moon Flower|||lib_ecology_cactus_moonflower.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||FALSE|TRUE|1||TRUE||1|FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3|||||||||||||||
cactus_prickly_pear|Cactus - Prickly Pear|||lib_ecology_cactus_prickly_pear.png||||plantlike|4|0.5,0.5,0.5|light||||FALSE||||FALSE|TRUE|1||TRUE||1|FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3|||||||||||||||
cactus_purple_button|Cactus - Purple Button|||lib_ecology_cactus_purple_trunk_top.png,lib_ecology_cactus_purple_trunk_top.png,lib_ecology_cactus_purple_trunk.png||||nodebox|||light|facedir|||TRUE||||||||||1|FALSE|||||tree 1,choppy 2,oddly_breakable_by_hand 1,flammable 2|||wood|||-0.25,-0.5,-0.25,0.25,0.0,0.25|-0.25,-0.5,-0.25,0.25,0.0,0.25||||||||||||||rotate|
cactus_purple_column|Cactus - Purple Column|||lib_ecology_cactus_purple_trunk_top.png,lib_ecology_cactus_purple_trunk_top.png,lib_ecology_cactus_purple_trunk.png||||nodebox|||light|facedir|||TRUE||||||||||1|FALSE|||||tree 1,choppy 2,oddly_breakable_by_hand 1,flammable 2|||wood|||-0.25,-0.5,-0.25,0.25,0.5,0.25|-0.25,-0.5,-0.25,0.25,0.5,0.25||||||||||||||rotate|
cactus_purple_trunk|Cactus - Purple Trunk|||lib_ecology_cactus_purple_trunk_top.png,lib_ecology_cactus_purple_trunk_top.png,lib_ecology_cactus_purple_trunk.png|||||||light|facedir|||TRUE||||||||||1|FALSE|||||tree 1,choppy 2,oddly_breakable_by_hand 1,flammable 2|||wood|||||||||||||||||||
cactus_small_column_01|Cactus - Small Column 01|||lib_ecology_cactus_column_01.png||||nodebox|||light|facedir|||TRUE||||||||||1|FALSE|||||tree 1,choppy 2,oddly_breakable_by_hand 1,flammable 2|||wood|||-0.0625,0.1875,-0.0625,0.0625,0.25,0.0625;-0.0625,-0.5,-0.125,0.0625,0.1875,0.125;-0.125,-0.5,-0.0625,0.125,0.1875,0.0625|-0.125,-0.5,-0.125,0.125,0.25,0.125||||||||||||||rotate|
cactus_small_column_02|Cactus - Small Column 02|||lib_ecology_cactus_column_02.png||||nodebox|||light|facedir|||TRUE||||||||||1|FALSE|||||tree 1,choppy 2,oddly_breakable_by_hand 1,flammable 2|||wood|||-0.0625,0.0625,-0.0625,0.0625,0.125,0.0625;-0.0625,-0.5,-0.125,0.0625,0.0625,0.125;-0.125,-0.5,-0.0625,0.125,0.0625,0.0625;-0.0625,-0.5,-0.001,0.0625,0.0625,0.001;-0.001,-0.5,-0.0625,0.001,0.0625,0.0625|-0.125,-0.5,-0.125,0.125,0.125,0.125||||||||||||||rotate|
cactus_small_globe|Cactus - Small Globe|||lib_ecology_cactus_globe.png||||nodebox|||light|facedir|||TRUE||||||||||1|FALSE|||||tree 1,choppy 2,oddly_breakable_by_hand 1,flammable 2|||wood|||-0.1875,-0.5,-0.0625,0.1875,0.125,0.0625;-0.25,-0.3125,-0.0625,0.25,0.0625,0.0625;-0.3125,-0.375,-0.0625,0.3125,0.0,0.0625;-0.125,0.125,-0.0625,0.125,0.1875,0.0625;-0.0625,0.1875,-0.0625,0.0625,0.25,0.0625|-0.3125,-0.5,-0.0625,0.3125,0.25,0.0625||||||||||||||rotate|
cactus_vine|Cactus - Vine|||lib_ecology_cactus_vine.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||FALSE|TRUE|1||TRUE||1|FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3|||||||||||||||
#candle||||candle.png|||||||||||||||||||||||||||||||||||||||||||||||||
#constant_flame||||fire_basic_flame_animated.png|||||||||||||||||||||||||||||||||||||||||||||||||
#CORALS|||||||||||||||||||||||||||||||||||||||||||||||||||||
coral_blue_01|Coral - Blue 01|||lib_ecology_coral_skeleton.png|lib_ecology_coral_blue_01.png false|lib_ecology_coral_blue_01.png|lib_ecology_coral_blue_01.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|lib_ecology:coral_blue_01|lib_ecology:coral_blue_01|||||||||||||||||
coral_blue_02|Coral - Blue 02|||lib_ecology_coral_skeleton.png|lib_ecology_coral_blue_02.png false|lib_ecology_coral_blue_02.png|lib_ecology_coral_blue_02.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|lib_ecology:coral_blue_02|lib_ecology:coral_blue_02|||||||||||||||||
coral_blue_03|Coral - Blue 03|||lib_ecology_coral_skeleton.png|lib_ecology_coral_blue_03.png false|lib_ecology_coral_blue_03.png|lib_ecology_coral_blue_03.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|lib_ecology:coral_blue_03|lib_ecology:coral_blue_03|||||||||||||||||
coral_brain|Coral - Brain|||lib_ecology_coral_brain.png||||||||||4|||||||||||||||||cracky 3,stone 1,sea 1||lib_ecology:coral_skeleton|stone|||||||||||||||||||
coral_brown|Coral - Brown|||lib_ecology_coral_brown.png||||||||||4|||||||||||||||||cracky 3,stone 1,sea 1||lib_ecology:coral_skeleton|stone|||||||||||||||||||
coral_dragon_eye|Coral - Dragon Eye|||lib_ecology_coral_dragon_eye.png||||||||||4|||||||||||||||||cracky 3,stone 1,sea 1||lib_ecology:coral_skeleton|stone|||||||||||||||||||
coral_green_01|Coral - Green 01|||lib_ecology_coral_skeleton.png|lib_ecology_coral_green_01.png false|lib_ecology_coral_green_01.png|lib_ecology_coral_green_01.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|lib_ecology:coral_green_01|lib_ecology:coral_green_01|||||||||||||||||
coral_green_02|Coral - Green 02|||lib_ecology_coral_skeleton.png|lib_ecology_coral_green_02.png false|lib_ecology_coral_green_02.png|lib_ecology_coral_green_02.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|lib_ecology:coral_green_02|lib_ecology:coral_green_02|||||||||||||||||
coral_orange_01|Coral - Orange 01|||lib_ecology_coral_orange_01.png||||||||||4|||||||||||||||||cracky 3,stone 1,sea 1||lib_ecology:coral_skeleton|stone|||||||||||||||||||
coral_orange_02|Coral - Orange 02|||lib_ecology_coral_skeleton.png|lib_ecology_coral_orange_02.png false|lib_ecology_coral_orange_02.png|lib_ecology_coral_orange_02.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|lib_ecology:coral_orange_02|lib_ecology:coral_orange_02|||||||||||||||||
coral_orange_03|Coral - Orange 03|||lib_ecology_coral_skeleton.png|lib_ecology_coral_orange_03.png false|lib_ecology_coral_orange_03.png|lib_ecology_coral_orange_03.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|lib_ecology:coral_orange_03|lib_ecology:coral_orange_03|||||||||||||||||
#coral_pillar||||lib_ecology_coral_pillar.png||||nodebox||||||2|||||||||||||||||cracky 3,stone 1,sea 1||lib_ecology:coral_skeleton|stone|||grid|-0.5,-0.5,-0.5,0.5,0.5,0.5|||||||||||||||
coral_pink_01|Coral - Pink 01|||lib_ecology_coral_skeleton.png|lib_ecology_coral_pink_01.png false|lib_ecology_coral_pink_01.png|lib_ecology_coral_pink_01.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|lib_ecology:coral_pink_01|lib_ecology:coral_pink_01|||||||||||||||||
coral_pink_02|Coral - Pink 02|||lib_ecology_coral_skeleton.png|lib_ecology_coral_pink_02.png false|lib_ecology_coral_pink_02.png|lib_ecology_coral_pink_02.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|lib_ecology:coral_pink_02|lib_ecology:coral_pink_02|||||||||||||||||
coral_pink_03|Coral - Pink 03|||lib_ecology_coral_skeleton.png|lib_ecology_coral_pink_03.png false|lib_ecology_coral_pink_03.png|lib_ecology_coral_pink_03.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|lib_ecology:coral_pink_03|lib_ecology:coral_pink_03|||||||||||||||||
coral_purple|Coral - Purple|||lib_ecology_coral_skeleton.png|lib_ecology_coral_purple.png false|lib_ecology_coral_purple.png|lib_ecology_coral_purple.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|lib_ecology:coral_purple|lib_ecology:coral_purple|||||||||||||||||
coral_red|Coral - Red|||lib_ecology_coral_skeleton.png|lib_ecology_coral_red.png false|lib_ecology_coral_red.png|lib_ecology_coral_red.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|lib_ecology:coral_red|lib_ecology:coral_red|||||||||||||||||
coral_skeleton|Coral - Skeleton|||lib_ecology_coral_skeleton.png||||||||||2|||||||||||||||||cracky 3,stone 1,sea 1|||stone|||||||||||||||||||
coral_sponge|Coral - Sponge|||lib_ecology_coral_sponge.png||||||||||4|||||||||||||||||cracky 3,stone 1,sea 1||lib_ecology:coral_skeleton|stone|||||||||||||||||||
coral_staghorn|Coral - Staghorn|||lib_ecology_coral_skeleton.png|lib_ecology_coral_staghorn.png false|lib_ecology_coral_staghorn.png|lib_ecology_coral_staghorn.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|lib_ecology:coral_staghorn|lib_ecology:coral_staghorn|||||||||||||||||
#FERNS|||||||||||||||||||||||||||||||||||||||||||||||||||||
fern_big|Fern - Big|||lib_ecology_fern_big.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||FALSE|TRUE|1||TRUE|||FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3|||||||||||||||
fern_bluespike|Fern - BlueSpike|||lib_ecology_fern_bluespike.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||FALSE|TRUE|1||TRUE|||FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3|||||||||||||||
fern_boston|Fern - Boston Fern|||lib_ecology_fern_boston.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||FALSE|TRUE|1||TRUE|||FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3|||||||||||||||
#fern_broadleaf_fern||||lib_ecology_fern_broadleaf.png|||||||||||||||||||||||||||||||||||||||||||||||||
fern_broadleaf_fern2|Fern - Broad Leaf Fern2|||lib_ecology_fern_broadleaf.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||FALSE|TRUE|1||TRUE|||FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3|||||||||||||||
#fern_dicksonia||||lib_ecology_fern_dicksonia.png|||||||||||||||||||||||||||||||||||||||||||||||||
fern_fern|Fern - Fern|||lib_ecology_fern_fern.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||FALSE|TRUE|1||TRUE|||FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3|||||||||||||||
fern_fiddlehead|Fern - Fiddlehead|||lib_ecology_fern_fiddlehead.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||FALSE|TRUE|1||TRUE|||FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3|||||||||||||||
fern_horsetail_02|Fern - Horsetail 02|||lib_ecology_fern_horsetail_4.png||||plantlike|||light||||FALSE||||FALSE|TRUE|||TRUE|||FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1||||||||||||||||||||||
fern_horsetail_1|Fern - Young Horsetail (Equisetum)|||lib_ecology_fern_horsetail_1.png||||plantlike|||light||||FALSE||||FALSE|TRUE|1||TRUE|||FALSE|||fern_horsetail_2||snappy 3,flora 1,plant 1,attached_node 1,growing 1,grass 1,flammable 1|||leaves||||-0.375,-0.5,-0.375,0.375,-0.3125,0.375|||||||||||||||
fern_horsetail_2|Fern - Horsetail (Equisetum)|||lib_ecology_fern_horsetail_2.png||||plantlike|||light||||FALSE||||FALSE|TRUE|1||TRUE|||FALSE|||fern_horsetail_3||snappy 3,flora 1,plant 1,attached_node 1,growing 1,grass 1,flammable 1|||leaves||||-0.375,-0.5,-0.375,0.375,-0.3125,0.375|||||||||||||||
fern_horsetail_3|Fern - Horsetail (Equisetum)|||lib_ecology_fern_horsetail_3.png||||plantlike|||light||||FALSE||||FALSE|TRUE|1||TRUE|||FALSE|||fern_horsetail_4||snappy 3,flora 1,plant 1,attached_node 1,growing 1,grass 1,flammable 1|||leaves||||-0.375,-0.5,-0.375,0.375,-0.3125,0.375|||||||||||||||
fern_horsetail_4|Fern - Horsetail (Equisetum)|||lib_ecology_fern_horsetail_4.png||||plantlike|||light||||FALSE||||FALSE|TRUE|1||TRUE|||FALSE|||||snappy 3,flora 1,plant 1,attached_node 1,growing 1,grass 1,flammable 1|||leaves||||-0.375,-0.5,-0.375,0.375,-0.3125,0.375|||||||||||||||
fern_horsetails|Fern - Horsetails|||lib_ecology_fern_horsetails.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||FALSE|TRUE|1||TRUE|||FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3|||||||||||||||
#fern_ladyfern||||lib_ecology_fern_lady.png|||||||||||||||||||||||||||||||||||||||||||||||||
fern_ladyfern2|Fern - Ladyfern2|||lib_ecology_fern_lady.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||FALSE|TRUE|1||TRUE|||FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3|||||||||||||||
fern_large_1|Fern - Fern Large 1|||lib_ecology_fern_large_1.png||||plantlike|||light||||FALSE||||FALSE|TRUE|1||TRUE|||FALSE|||fern_large_2||snappy 3,flora 1,plant 1,attached_node 1,growing 1,grass 1,flammable 1|||leaves||||-0.375,-0.5,-0.375,0.375,-0.3125,0.375|||||||||||||||
fern_large_2|Fern - Fern Large 2|||lib_ecology_fern_large_2.png||||plantlike|||light||||FALSE||||FALSE|TRUE|1||TRUE|||FALSE|||fern_large_3||snappy 3,flora 1,plant 1,attached_node 1,growing 1,grass 1,flammable 1|||leaves||||-0.375,-0.5,-0.375,0.375,-0.3125,0.375|||||||||||||||
fern_large_3|Fern - Fern Large 3|||lib_ecology_fern_large_3.png||||plantlike|2|0.5,0.5,0.5|light||||FALSE||||FALSE|TRUE|1||TRUE|||FALSE|||||snappy 3,flora 1,plant 1,attached_node 1,growing 1,grass 1,flammable 1|||leaves||||-0.375,-0.5,-0.375,0.375,-0.3125,0.375|||||||||||||||
fern_small_1|Fern - Fern Small 1|||lib_ecology_fern_small_1.png||||plantlike|||light||||FALSE||||FALSE|TRUE|1||TRUE|||FALSE|||fern_small_2||snappy 3,flora 1,plant 1,attached_node 1,growing 1,grass 1,flammable 1|||leaves||||-0.375,-0.5,-0.375,0.375,-0.3125,0.375|||||||||||||||
fern_small_2|Fern - Fern Small 2|||lib_ecology_fern_small_2.png||||plantlike|||light||||FALSE||||FALSE|TRUE|1||TRUE|||FALSE|||fern_small_3||snappy 3,flora 1,plant 1,attached_node 1,growing 1,grass 1,flammable 1|||leaves||||-0.375,-0.5,-0.375,0.375,-0.3125,0.375|||||||||||||||
fern_small_3|Fern - Fern Small 3|||lib_ecology_fern_small_3.png||||plantlike|2|0.5,0.5,0.5|light||||FALSE||||FALSE|TRUE|1||TRUE|||FALSE|||||snappy 3,flora 1,plant 1,attached_node 1,growing 1,grass 1,flammable 1|||leaves||||-0.375,-0.5,-0.375,0.375,-0.3125,0.375|||||||||||||||
fern_spike|Fern - Spike|||lib_ecology_fern_spike.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||FALSE|TRUE|1||TRUE|||FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3|||||||||||||||
#FLOWERS|||||||||||||||||||||||||||||||||||||||||||||||||||||
flower_allium_purple|Flower - Allium Purple|||lib_ecology_flower_allium_purple.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||FALSE|TRUE|1||TRUE|||FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3|||||||||||||||
flower_big|Flower - Big|||lib_ecology_flower_big.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||FALSE|TRUE|1||TRUE|||FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3|||||||||||||||
flower_bird_of_paradise|Flower - Bird of Paradise|||lib_ecology_flower_bird_of_paradise.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||FALSE|TRUE|1||TRUE|||FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3|||||||||||||||
flower_blue|Flower - Blue|||lib_ecology_flower_blue.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||FALSE|TRUE|1||TRUE|||FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3|||||||||||||||
flower_calla_lily|Flower - Calla Lily|||lib_ecology_flower_calla_lily.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||FALSE|TRUE|1||TRUE|||FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3|||||||||||||||
flower_cave|Flower - Cave|||lib_ecology_flower_cave.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||FALSE|TRUE|1||TRUE|||FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3|||||||||||||||
flower_chrysanthemum_green|Flower - Chrysanthemum Green|||lib_ecology_flower_chrysanthemum_green.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||FALSE|TRUE|1||TRUE|||FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3|||||||||||||||
